section,subsection,municipality,state,legal_basis
"Seção Judiciária do Pará","Marabá","Eldorado dos Carajás",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Itupiranga",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Nova Ipixuna",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Palestina do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Parauapebas",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Piçarra",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","Rondon do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","São Domingos do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","São Geraldo do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Marabá","São João do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Paragominas",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Aurora do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Cachoeira do Piriá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Capitão Poço",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Dom Eliseu",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Garrafão do Norte",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Ipixuna do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Irituia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Mãe do Rio",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Nova Esperança do Piriá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Ourém",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Santa Luzia do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","São Miguel do Guamá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Paragominas","Ulianópolis",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Redenção",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Água Azul do Norte",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Bannach",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Conceição do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Cumaru do Norte",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Floresta do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Ourilândia do Norte",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Pau D’Arco",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Rio Maria",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Santa Maria das Barreiras",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Santana do Araguaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","São Félix do Xingu",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Sapucaia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Tucumã",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Redenção","Xinguara",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Santarém",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Alenquer",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Almeirim",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Belterra",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Curuá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Faro",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Gurupá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Juruti",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Monte Alegre",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Óbidos",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Oriximiná",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Placas",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Prainha",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Rurópolis",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Terra Santa",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Santarém","Uruará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Tucuruí",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Breu Branco",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Goianésia do Pará",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Jacundá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Novo Repartimento",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Pacajá",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
"Seção Judiciária do Pará","Tucuruí","Tailândia",PA,"Resolução PRESI nº 8, de 11 de março de 2016"
